Cliente; fred; 12345678912; residencial
agua; 10; 50;  1
agua; 50; 110; 2
agua; 110; 140; 3
agua; 140; 180; 4
agua; 180; 210; 5
agua; 210; 250; 6
agua; 250; 260; 7
agua; 260; 300; 8
agua; 300; 320; 9
agua; 320; 380; 10
agua; 380; 500; 11
agua; 500; 590; 12
energia; 10; 60; 1
energia; 60; 110; 2
energia; 110; 180; 3
energia; 180; 240; 4
energia; 240; 300; 5
energia; 300; 390; 6
energia; 390; 500; 7
energia; 500; 550; 8
energia; 550; 600; 9
energia; 600; 660; 10
energia; 660; 700; 11
energia; 700; 835; 12

Cliente; Roberto; 12345678913; comercial
agua; 10; 50;  1
agua; 50; 110; 2
agua; 110; 140; 3
agua; 140; 180; 4
agua; 180; 210; 5
agua; 210; 250; 6
agua; 250; 260; 7
agua; 260; 300; 8
agua; 300; 320; 9
agua; 320; 380; 10
agua; 380; 500; 11
agua; 500; 590; 12
energia; 10; 60; 1
energia; 60; 110; 2
energia; 110; 180; 3
energia; 180; 240; 4
energia; 240; 300; 5
energia; 300; 390; 6
energia; 390; 500; 7
energia; 500; 550; 8
energia; 550; 600; 9
energia; 600; 660; 10
energia; 660; 700; 11
energia; 700; 835; 12

Cliente; rodrigo; 12345678914; comercial
agua; 10; 20; 1
agua; 20; 40; 2
agua; 40; 45; 3
agua; 45; 55; 4
agua; 55; 60; 5
agua; 60; 97; 6
agua; 97; 120; 7
agua; 120; 140; 8
agua; 140; 155; 9
agua; 155; 180; 10
agua; 180; 240; 11
agua; 240; 270; 12
energia; 10; 20; 1
energia; 20; 40; 2
energia; 40; 70; 3
energia; 70; 140; 4
energia; 140; 200; 5
energia; 200; 250; 6
energia; 250; 330; 7
energia; 330; 400; 8
energia; 400; 490; 9
energia; 490; 580; 10
energia; 580; 660; 11
energia; 660; 800; 12
